relation,src_node_id,dst_node_id,src_node_index,dst_node_index,jaccard,shared_genes
disease_gene_jaccard,ETCM_disease_id_1517,ETCM_disease_id_1460,962,921,0.5555555820465088,5
disease_gene_jaccard,ETCM_disease_id_1519,ETCM_disease_id_3835,964,2419,0.2647058963775635,9
disease_gene_jaccard,ETCM_disease_id_1522,ETCM_disease_id_2191,967,1401,0.35779815912246704,39
disease_gene_jaccard,ETCM_disease_id_1523,ETCM_disease_id_3820,968,2409,0.21176470816135406,18
disease_gene_jaccard,ETCM_disease_id_1529,ETCM_disease_id_3399,971,2154,0.29729729890823364,11
disease_gene_jaccard,ETCM_disease_id_153,ETCM_disease_id_1567,100,996,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_153,ETCM_disease_id_3062,100,1931,0.8571428656578064,12
disease_gene_jaccard,ETCM_disease_id_1530,ETCM_disease_id_3706,972,2341,1.0,12
disease_gene_jaccard,ETCM_disease_id_1530,ETCM_disease_id_3497,972,2217,1.0,12
disease_gene_jaccard,ETCM_disease_id_1530,ETCM_disease_id_3186,972,2023,1.0,12
disease_gene_jaccard,ETCM_disease_id_1530,ETCM_disease_id_3147,972,1997,1.0,12
disease_gene_jaccard,ETCM_disease_id_1530,ETCM_disease_id_1469,972,929,1.0,12
disease_gene_jaccard,ETCM_disease_id_1530,ETCM_disease_id_1399,972,884,1.0,12
disease_gene_jaccard,ETCM_disease_id_1530,ETCM_disease_id_1397,972,882,1.0,12
disease_gene_jaccard,ETCM_disease_id_1531,ETCM_disease_id_855,973,541,0.6153846383094788,8
disease_gene_jaccard,ETCM_disease_id_1531,ETCM_disease_id_1659,973,1050,0.6153846383094788,8
disease_gene_jaccard,ETCM_disease_id_1537,ETCM_disease_id_3319,978,2109,0.2195121943950653,9
disease_gene_jaccard,ETCM_disease_id_1542,ETCM_disease_id_592,981,386,0.28205129504203796,11
disease_gene_jaccard,ETCM_disease_id_1549,ETCM_disease_id_4139,984,2605,0.25735294818878174,35
disease_gene_jaccard,ETCM_disease_id_155,ETCM_disease_id_4130,102,2598,0.5384615659713745,14
disease_gene_jaccard,ETCM_disease_id_155,ETCM_disease_id_3926,102,2480,0.5384615659713745,14
disease_gene_jaccard,ETCM_disease_id_155,ETCM_disease_id_1702,102,1076,0.5185185074806213,14
disease_gene_jaccard,ETCM_disease_id_155,ETCM_disease_id_3604,102,2285,0.4516128897666931,14
disease_gene_jaccard,ETCM_disease_id_1557,ETCM_disease_id_571,988,369,0.2857142984867096,6
disease_gene_jaccard,ETCM_disease_id_1559,ETCM_disease_id_1653,989,1048,0.2321428507566452,13
disease_gene_jaccard,ETCM_disease_id_1560,ETCM_disease_id_3266,990,2072,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1560,ETCM_disease_id_2275,990,1446,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1564,ETCM_disease_id_502,993,325,0.37931033968925476,11
disease_gene_jaccard,ETCM_disease_id_1564,ETCM_disease_id_3980,993,2510,0.37931033968925476,11
disease_gene_jaccard,ETCM_disease_id_1565,ETCM_disease_id_1611,994,1024,0.6153846383094788,8
disease_gene_jaccard,ETCM_disease_id_1566,ETCM_disease_id_1570,995,999,0.5,6
disease_gene_jaccard,ETCM_disease_id_1567,ETCM_disease_id_3062,996,1931,0.9230769276618958,12
