id,name,source
ETCM_XHCF_248,Lobelinin A,existing
ETCM_XHCF_249,Radicamine A,existing
ETCM_XHCF_250,Radicamine B,existing
ETCM_XHCF_251,3-Acetamino-5-Methyl Isooxazole,existing
ETCM_XHCF_252,"Butylethylene Ether,Hexanal",existing
ETCM_XHCF_253,2-Undecanone,existing
ETCM_XHCF_254,Pentaldehyde Oxime,existing
ETCM_XHCF_255,2-Methylpyrazine,existing
ETCM_XHCF_256,1-Octene,existing
ETCM_XHCF_257,Homogentisic Acid,existing
ETCM_XHCF_258,"12,13-Epoxy-9-Hydroxynonadeca-7,10-Dienoic Acid",existing
ETCM_XHCF_259,Benzaldehyde,existing
ETCM_XHCF_260,Anethole,existing
ETCM_XHCF_261,"Citral,Neral",existing
ETCM_XHCF_262,Shogaol,existing
ETCM_XHCF_263,Î‘-Aminobutyric Acid,existing
ETCM_XHCF_264,Î’-Aminobutyric Acid,existing
ETCM_XHCF_265,Baicalin,existing
ETCM_XHCF_266,Baicalein,existing
ETCM_XHCF_267,"D-Pseudoephedrine,Ephedrine,Pseudoephedrine",existing
ETCM_XHCF_268,Methyl-2-Chloropropenoate,existing
ETCM_XHCF_269,Î’-Aminobutyric Acid,existing
ETCM_XHCF_270,Bis(4-Hydroxybenzyl)Ether,existing
ETCM_XHCF_271,Choline,existing
ETCM_XHCF_272,Coniine,existing
ETCM_XHCF_273,Ephedrine,existing
ETCM_XHCF_274,"1-O-Î’-D-Glucopyranosyl-(2S,3R,4E,11E)-2-(2'R-Hydroxyhexadecenoylamino)-4,11-Octadecadiene-1,3-Diol",existing
ETCM_XHCF_275,Guanosine,existing
ETCM_XHCF_276,9-Heptadecanol,existing
ETCM_XHCF_277,Homogentisic Acid,existing
ETCM_XHCF_278,Methyl 2-Chloropropenoate,existing
ETCM_XHCF_279,3-Methyl Eicosane,existing
ETCM_XHCF_280,1-Octene,existing
ETCM_XHCF_281,"1,5-Pentadiol",existing
ETCM_XHCF_282,Pentaldehyde Oxime,existing
ETCM_XHCF_283,Protocatechuic Aldehyde,existing
ETCM_XHCF_284,Carthamidin,existing
ETCM_XHCF_285,P-Hydroxybenzyl Acetone,existing
ETCM_XHCF_286,"7-Hydroxy-5,8-Dimethoxyflavone",existing
ETCM_XHCF_287,"4'-Hydroxywogonin,5,7-Dihydroxy-8-Methoxylflavone",existing
ETCM_XHCF_288,Rivularin,existing
ETCM_XHCF_289,Scutellarein,existing
ETCM_XHCF_290,Scutellarin,existing
ETCM_XHCF_291,Wogonin,existing
ETCM_XHCF_292,Decyl Acetate,existing
ETCM_XHCF_293,Menthyl Acetate,existing
ETCM_XHCF_294,Menthyl Acetate,existing
ETCM_XHCF_295,"1-(3,4-Dihydroxyphenyl)-6,7-Dihydroxy-1,2-Dihydronaphthalene-2,3-Dicarboxylic Acid",existing
ETCM_XHCF_296,2-Hexanol,existing
ETCM_XHCF_297,2-Hexanol,existing
ETCM_XHCF_298,Asparagine,existing
ETCM_XHCF_299,3-Pentanol,existing
ETCM_XHCF_300,3-Octanol,existing
ETCM_XHCF_301,Methyl Benzoate,existing
ETCM_XHCF_302,"Isomenthone,L-Menthone",existing
ETCM_XHCF_303,Menthol,existing
ETCM_XHCF_304,Menthol,existing
ETCM_XHCF_305,Isoraifolin,existing
ETCM_XHCF_306,D-8-Acetoxycarvotanacetone,existing
ETCM_XHCF_307,"1,3-Bis-[2-(3,4-Dihydroxyphenyl)-1-Carboxy]Ethoxycarbonyl-2-(3,4-Dihydroxyphenyl)-7,8-Dihydroxy-1,2-Dihydronaphthalene",existing
ETCM_XHCF_308,"1,3-Bis-[2-(3,4-Dihydroxyphenyl)-1-Methoxycarbonyl]Ethoxycarbonyl-2-(3,4-Dihydroxyphenyl)-7,8-Dihydroxy-1,2-Dihydronaphthalene",existing
ETCM_XHCF_309,D-Camphene,existing
ETCM_XHCF_310,Isomenthone,existing
ETCM_XHCF_311,"5,7,4'-Trihydroxy-6,8,3'-Trimethoxyflavone,Labiatenic Acid,Rosmarinic Acid",existing
ETCM_XHCF_312,"D-Limonene,Limonene,Dipentene,Î‘-Phellandrene",existing
ETCM_XHCF_313,"Citronellol,Menthol",existing
ETCM_XHCF_314,Menthone,existing
ETCM_XHCF_315,Î‘-Pinene,existing
ETCM_XHCF_316,Dauricine,existing
ETCM_XHCF_317,Magnoflorine,existing
ETCM_XHCF_318,Acutumine,existing
ETCM_XHCF_319,Stepholidine,existing
ETCM_XHCF_320,Stepharine,existing
ETCM_XHCF_321,Sinomenine,existing
ETCM_XHCF_322,Cheilanthifolin(E),existing
ETCM_XHCF_323,Bianfugenine,existing
ETCM_XHCF_324,Menisperine,existing
ETCM_XHCF_325,Bianfugecine,existing
ETCM_XHCF_326,Menisporphine,existing
ETCM_XHCF_327,Bianfugedine,existing
ETCM_XHCF_328,Daurisoline,existing
ETCM_XHCF_329,"6,10-Dimethyl-2-Undecanone",existing
ETCM_XHCF_330,"2,3-Dihydrobenzofuran,Coumaran",existing
ETCM_XHCF_331,Caryophellene,existing
ETCM_XHCF_332,Pentatriacontane,existing
ETCM_XHCF_333,"1,2,4-Trimethylcyclohexane",existing
ETCM_XHCF_334,Caproic Acid,existing
ETCM_XHCF_335,Hexanol,existing
ETCM_XHCF_336,Luteolin,existing
ETCM_XHCF_337,Î“-Nonalactone,existing
ETCM_XHCF_338,Isocantleyine,existing
ETCM_XHCF_339,Nootkatone,existing
ETCM_XHCF_340,Ascaridole,existing
ETCM_XHCF_341,"Benzyl Ethyl Alcohol,Phenylethanol",existing
ETCM_XHCF_342,Pulegone,existing
ETCM_XHCF_343,Loliolide,existing
ETCM_XHCF_344,Decanal,existing
ETCM_XHCF_345,"Geraniol,Sabinene Hydrate",existing
ETCM_XHCF_346,Guaiol,existing
ETCM_XHCF_347,Pentylcyclopropane,existing
ETCM_XHCF_348,Lecithin,existing
ETCM_XHCF_349,Bergaptin,existing
ETCM_XHCF_350,Cephalin,existing
ETCM_XHCF_351,4-[Î’-D-Apiofuranosyl-(1â†’6)-Î’-D-Glucopyranosyloxy]-3-Methoxypropiophenone,existing
ETCM_XHCF_352,Baihuaqianhuoside,existing
ETCM_XHCF_353,"Benzyl Alcohol O-Î’-D-Glucopyranoside,Campesterol",existing
ETCM_XHCF_354,Bergamotin,existing
ETCM_XHCF_355,Bergaptol-O-Î’-D-Glucopyranoside,existing
ETCM_XHCF_356,"Butane-2,3-Diol 2-O-Î’-D-Glucopyranoside",existing
ETCM_XHCF_357,Citrusin A,existing
ETCM_XHCF_358,Corchoionoside A,existing
ETCM_XHCF_359,Crenulatin,existing
ETCM_XHCF_360,1-Deoxy-D-Lyxitol,existing
ETCM_XHCF_361,2-Deoxy-D-Ribitol1,existing
ETCM_XHCF_362,"3,7-Dimethyloct-3(10)-Ene-1,2,6,7-Tetrol",existing
ETCM_XHCF_363,"(2S,6Î–)-3,7-Dimethyloct-3(10)-Ene-1,2,6,7-Tetrol 1-O-Î’-D-Glucopyranoside",existing
ETCM_XHCF_364,Erythritol,existing
ETCM_XHCF_365,Ethyl Î’-D-Glucopyranoside,existing
ETCM_XHCF_366,Glehlinoside A,existing
ETCM_XHCF_367,Glehlinoside B,existing
ETCM_XHCF_368,Glehlinoside C,existing
ETCM_XHCF_369,4'-Hydroxyimperatorin 4'-O-Î’-D-Glucopyranoside,existing
ETCM_XHCF_370,(3R')-Hydroxymarmesin 4'-O-Î’-D-Glucopyranoside,existing
ETCM_XHCF_371,"(3R)-2-Hydroxymethylbutane-1,2,3,4-Tetrol",existing
ETCM_XHCF_372,Icariside F2,existing
ETCM_XHCF_373,Isobutyl Î’-D-Glucopyranoside,existing
ETCM_XHCF_374,Isopropyl Î’-D-Apiofuranosyl-(1â†’6)-Î’-D-Glucopyranoside,existing
ETCM_XHCF_375,Isopropyl Î’-D-Glucopyranoside,existing
ETCM_XHCF_376,Junipediol A 29-O-Î’-D-Glucopyranoside,existing
ETCM_XHCF_377,Marmesinin,existing
ETCM_XHCF_378,"Trans-P-Menthane-1Î‘,2Î’,8-Triol",existing
ETCM_XHCF_379,"(4R)-P-Menth-1-Ene-7,8-Diol 8-O-Î’-D-Glucopyranoside",existing
ETCM_XHCF_380,"Cis-P-Menth-2-Ene-1Î‘,7,8-Triol",existing
ETCM_XHCF_381,"Trans-P-Menth-2-Ene-1Î‘,7,8-Triol",existing
ETCM_XHCF_382,Osthenol-7-O-Î’-Gentiobioside,existing
ETCM_XHCF_383,Oxymarmesinin 5'-O-Î’-D-Glucopyranoside,existing
ETCM_XHCF_384,Phenethyl Î’-D-Glucopyranoside,existing
ETCM_XHCF_385,Picraquassioside A,existing
ETCM_XHCF_386,Psoralen,existing
ETCM_XHCF_387,(X{2212})-Secoisolariciresinol,existing
ETCM_XHCF_388,(X{2212})-Secoisolariciresinol 4-O-Î’-D-Glucopyranoside,existing
ETCM_XHCF_389,(D)-Threitol,existing
ETCM_XHCF_390,Uridine,existing
ETCM_XHCF_391,Vanillic Acid,existing
ETCM_XHCF_392,Xanthotoxol 8-O-Î’-D-Glucopyranoside,existing
ETCM_XHCF_393,"1-[1-Oxo-9(3,4-Methylenedioxyphenyl)-2E,8E- Nonadienyl] Piperidine,Pipernonaline",existing
