my_name,match_name,kdhr_id
珠子参,珠子参,HN7712
猪牙皂,猪牙皂,HN6050
竹根七,竹根七,HN7692
竹茹,竹茹,HN754
追风七,追风七,HN4454
紫草,紫草,HN3862
紫花地丁,紫花地丁,HN3506
紫苏梗,紫苏梗,HN5126
紫苏叶,紫苏叶,HN7531
紫苏子,紫苏子,HN7764
紫菀,紫菀,HN5505
棕榈,棕榈,HN3300
